Date,Open,High,Low,Close,Volume
01/15/21, 852.00, 859.90, 819.10, 826.16, 38777602
01/14/21, 843.39, 863.00, 838.75, 845.00, 31266330
01/13/21, 852.76, 860.47, 832.00, 854.41, 33312500
01/12/21, 831.00, 868.00, 827.34, 849.44, 46270719
01/11/21, 849.40, 854.43, 803.6222, 811.19, 59554152
01/08/21, 856.00, 884.49, 838.39, 880.02, 75055531
01/07/21, 777.63, 816.99, 775.20, 816.04, 51498953
01/06/21, 758.49, 774.00, 749.10, 755.98, 44699969
01/05/21, 723.66, 740.84, 719.20, 735.11, 32245170
01/04/21, 719.46, 744.4899, 717.1895, 729.77, 48638191
12/31/20, 699.99, 718.72, 691.12, 705.67, 49649930
12/30/20, 672.00, 696.60, 668.3603, 694.78, 42846020
12/29/20, 661.00, 669.90, 655.00, 665.99, 22910811
12/28/20, 674.51, 681.40, 660.80, 663.69, 32278561
12/24/20, 642.99, 666.09, 641.00, 661.77, 22865570
12/23/20, 632.20, 651.4999, 622.5701, 645.98, 33172969
12/22/20, 648.00, 649.88, 614.23, 640.34, 51861641
12/21/20, 666.24, 668.50, 646.07, 649.86, 58045262
12/18/20, 668.90, 695.00, 628.54, 695.00, 222126203
12/17/20, 628.19, 658.82, 619.50, 655.90, 56270141
12/16/20, 628.23, 632.50, 605.00, 622.77, 42095809
12/15/20, 643.28, 646.90, 623.80, 633.25, 45223559
12/14/20, 619.00, 642.7499, 610.2001, 639.83, 52040648
12/11/20, 615.01, 624.00, 596.80, 609.99, 46474969
12/10/20, 574.37, 627.75, 566.34, 627.07, 67083148
12/09/20, 653.69, 654.32, 588.00, 604.48, 71291195
12/08/20, 625.505, 651.28, 618.50, 649.88, 64265031
12/07/20, 604.9197, 648.7856, 603.05, 641.76, 56309711
12/04/20, 591.01, 599.04, 585.50, 599.04, 29401311
12/03/20, 590.02, 598.97, 582.43, 593.38, 42552000
12/02/20, 556.44, 571.54, 541.21, 568.82, 47775648
12/01/20, 597.59, 597.85, 572.05, 584.76, 40382832
11/30/20, 602.21, 607.80, 554.51, 567.60, 63003047
11/27/20, 581.16, 598.78, 578.45, 585.76, 37561078
11/25/20, 550.06, 574.00, 545.37, 574.00, 48930160
11/24/20, 540.40, 559.99, 526.20, 555.38, 53648488
11/23/20, 503.50, 526.00, 501.79, 521.85, 50260301
11/20/20, 497.99, 502.50, 489.06, 489.61, 32911922
11/19/20, 492.00, 508.6112, 487.57, 499.27, 62475352
11/18/20, 448.35, 496.00, 443.5001, 486.64, 78044016
11/17/20, 460.17, 462.00, 433.01, 441.61, 61188281
11/16/20, 408.93, 412.45, 404.0868, 408.09, 26838641
11/13/20, 410.85, 412.5319, 401.66, 408.50, 19830350
11/12/20, 415.05, 423.00, 409.52, 411.76, 19940500
11/11/20, 416.45, 418.695, 410.58, 417.13, 17357721
11/10/20, 420.09, 420.09, 396.0301, 410.36, 30284221
11/09/20, 439.50, 452.50, 421.00, 421.26, 34833031
11/06/20, 436.10, 436.57, 424.28, 429.95, 21706010
11/05/20, 428.30, 440.00, 424.0001, 438.09, 28414520
11/04/20, 430.62, 435.40, 417.10, 420.98, 32143061
11/03/20, 409.73, 427.77, 406.69, 423.90, 34351719
11/02/20, 394.00, 406.9799, 392.30, 400.51, 29021119
10/30/20, 406.8954, 407.5915, 379.11, 388.04, 42587641
10/29/20, 409.96, 418.06, 406.46, 410.83, 22655311
10/28/20, 416.48, 418.60, 406.00, 406.02, 25451410
10/27/20, 423.76, 430.50, 420.10, 424.68, 22686510
10/26/20, 411.63, 425.76, 410.00, 420.28, 28239160
